idx,zh,en,mutated
20,意大利选手法比奥·法尼尼在星期六输给美国选手坦尼斯·桑德格伦第三轮比赛后说了句“应该在网球场上引爆炸弹”，因而被罚款 3000 美元。,"Italian player Fabio Fognini was fined $3,000 for saying a ""bomb should explode"" at the tennis courts after he lost the third round to U.S. player Tennys Sandgren on Saturday.","Italian player Fabio Fognini was fined $3,000 for saying a ""bomb should explode"" at the tennis courts before he lost the third round to U.S. player Tennys Sandgren on Saturday."
21,官方消息称，根据《基本规则》第 56（J）条，负责监督商品及服务税和进口税征收的中央间接税和海关委员会因腐败和其它指控，强制要求 15 名高级官员退休。,"The Central Board of Indirect Taxes and Customs (CBIC) -- the agency that oversees GST and import tax collections -- compulsorily retired 15 senior officers under Fundamental Rule 56 (J) on corruption and other charges, official sources said.",The Central Board of Indirect Taxes and Customs (CBIC) -- the agency that oversees GST and import tax collections -- officially said that 15 senior officers were compulsorily retired under Fundamental Rule 56 (J) on corruption and other charges.
22,在 2009 年，母亲鲁比和另一只名叫南希的雌性动物加入了野生动物公园，希望与蒙蒂生下公园里的第一只小犀牛。,Mother Ruby joined the wildlife park in 2009 alongside another female called Nancy in the hope that one would produce the park's first ever calf with Monty.,Mother Ruby joined the wildlife park in 2009 alongside another female called Nancy in the hope that one would produce Monty's first ever calf with the park.
23,报道称，该公司正在接受西班牙高等法院的调查。,"The company is being investigated over the claims by Spain's High Court, the Audiencia Nacional, said the report.","The report said the claims, the Audiencia Nacional, Spain's High Court, are investigating the company over."
24,“我们为养老金固定收益计划成员的未来提供金融保障，计划成员应该放心，我们是会保护他们的。”,We are here to protect the financial futures of members belonging to defined benefit pension schemes and they should take comfort knowing we are here to protect them.,"We are here to protect the financial futures of members belonging to defined benefit pension schemes and knowing we are here to protect them, they should take comfort."
25,碧翠斯公主的父母安德鲁王子和莎拉·弗格森也表达了他们的兴奋之情。,"Princess Beatrice's parents, Prince Andrew and Sarah Ferguson, also shared their excitement.","Princess Beatrice's parents, Prince Andrew and Sarah Ferguson, also shared their disappointment."
26,经纪人呼吁大家不要相信社交网络和世界各地黄色杂志上“泄漏”的任何照片。,"The manager urged not to believe in any photos that ""leak"" on social networks and in yellow magazines around the world.","The manager urged to believe in any photos that ""leak"" on social networks and in yellow magazines around the world."
27,美国总统唐纳德·特朗普提名彼得·盖纳出任联邦紧急事务管理署署长，白宫在一份声明中表示。,"U.S. President Donald Trump nominated Peter Gaynor on Thursday to head the Federal Emergency Management Agency (FEMA), the White House said in a statement.","U.S. President Donald Trump nominated Peter Gaynor on Thursday to head the Federal Emergency Management Agency (FEMA), the White House said in a statement."
28,众议院主席警告特朗普停止攻击告密者,House chairmen warn Trump to stop attacking whistleblower,Trump warn to stop attacking whistleblower House chairmen.
29,但是，自由民主党认为，科尔宾先生领导之下的临时政府需要获得前保守党国会议员和本党叛徒的支持，因此无法在众议院获得必要的支持。,"However the Liberal Democrats believe a temporary government led by Mr Corbyn cannot achieve the necessary support across the House, as he would need the backing of ex-Tory MPs and defectors from his own party.","However, the Liberal Democrats believe a temporary government led by Mr Corbyn can achieve the necessary support across the House, as he would not need the backing of ex-Tory MPs and defectors from his own party."
30,托马斯·库克到底出了什么问题?,What went so wrong for Thomas Cook?,What went so wrong for Thomas Cook went so right?
31,弗吉尼亚州的一名黑人中学生指控三名白人男孩困住了她并剪断了她的辫子。该事件发生在以马内利基督学校，副总统迈克·彭斯的夫人凯伦·彭斯在该学校任教。,"A black middle school student from Virginia is accusing three white boys of pinning her down and cutting off her dreadlocks. The incident took place at Immanuel Christian School - where Vice President Mike Pence's wife, Karen Pence, is a teacher.","A black middle school student from Virginia is accusing three white boys of pinning her down and cutting off her dreadlocks. The incident took place at Immanuel Christian School - where Vice President Mike Pence's wife, Karen Pence, is a teacher, because Vice President Mike Pence's wife, Karen Pence, is a teacher at Immanuel Christian School."
32,7 月 19日，因这艘船涉嫌违反国际海事法在霍尔木兹海峡进入伊朗水域，伊朗革命卫队将其扣押。,The ship was captured by the Iranian Revolutionary Guard Corps on July 19 for having violated international maritime law when it allegedly veered into Iranian waters in the Strait of Hormuz.,The Iranian Revolutionary Guard Corps captured the ship on July 19 for having violated international maritime law when it allegedly veered into Iranian waters in the Strait of Hormuz.
33,自从 3 月布罗克·朗辞职后，该机构尚无参议院批准的负责人。管理署的上级部门 - 国土安全部认定朗违规使用公车，用于往返华盛顿和他在北卡罗来纳州的住所，随后朗辞任署长一职。,"The agency has been without a Senate-confirmed administrator since March, when Brock Long left the post. Long resigned after the Department of Homeland Security, under which FEMA falls, concluded Long had inappropriately used government vehicles to commute between Washington and his home in North Carolina.","Long resigned after the Department of Homeland Security, under which FEMA falls, concluded Long had appropriately used government vehicles to commute between Washington and his home in North Carolina because the agency has been without a Senate-confirmed administrator since March, when Brock Long left the post."
34,克利夫兰警方在各个方面都被检查人员标签为“失败”,Cleveland police branded 'failing' in all areas by inspectors,Inspectors branded Cleveland police 'failing' in all areas.
35,沙特阿拉伯首次提供旅游签证，废除阿巴亚长袍规定,"Saudi Arabia To Offer Tourist Visas For First Time, Abolish Abaya Rule","Saudi Arabia To Abolish Abaya Rule, Offer Tourist Visas For First Time."
36,戈姆莱补充道：“该部队没有适当地优先考虑预防犯罪。缺乏战略方向且部队分配给防御工作的资源不足......未能对儿童等弱势群体给与适当保护。失去了保护他们的机会并使他们面临风险。”,"Gormley added: ""The force doesn't appropriately prioritise crime prevention. There is a lack of strategic direction, and the force doesn't allocate enough resources to prevention work ... It is failing to respond appropriately to vulnerable people, including children. It is missing opportunities to safeguard them and exposing them to risk.""","Gormley added: ""The force appropriately prioritizes crime prevention. There is a strategic direction, and the force allocates enough resources to prevention work ... It is successfully responding appropriately to vulnerable people, including children. It is seizing opportunities to safeguard them and protecting them from risk."""
37,该咨询于星期五在政府网站上发布，内容如下：“统一有效执法是解决苏格兰相关失控犬问题的关键所在。,"The consultation, launched on the Government's website on Friday, says: ""Effective and consistent enforcement across Scotland is fundamental in helping address issues relating to out-of-control dogs.","The consultation, launched on the Government's website on Friday, says: ""Addressing issues relating to out-of-control dogs is fundamental in helping achieve effective and consistent enforcement across Scotland."
38,来自宾夕法尼亚州的民主党众议员马特·卡特赖特告诉美国有线电视新闻网，目前他不会投票支持弹劾条款。,"Rep. Matt Cartwright, a Democrat from Pennsylvania, told CNN that he wouldn't -- at this point -- vote for articles of impeachment.","Rep. Matt Cartwright, a Democrat from Pennsylvania, told CNN that he wouldn't -- at this point -- vote against articles of impeachment."
39,7 月份，该委员会的议员得出结论，认为目前的养狗法与目的不切合，呼吁苏格兰政府对所有的养狗法进行全面审查。,"In July, the committee's MSPs concluded current dog control legislation is not fit for purpose and called on the Scottish Government to undertake a comprehensive review of all dog-control laws.","In July, the committee's MSPs concluded the Scottish Government to undertake a comprehensive review of all dog-control laws is not fit for purpose and called that current dog control legislation is not fit for purpose."
40,阿玛丽没有把这件事告诉家人，直到她奶奶发现她的头发变短了。,Amari didn't tell her family about the incident until after her grandmother noticed the length of her hair had changed.,"Amari's hair had changed length until after her family noticed the incident, she didn't tell her grandmother."
41,他们也承认，服役人员不愿主动寻求帮助，因为他们担心这会影响升职或安全检查。军方领导人表示，他们都必须更加刻苦努力，去解决那些被视为阻碍发展的问题。,"They also acknowledged that service members are reluctant to come forward and seek help, because they worry that it could affect promotions or security clearances. And military leaders said they must all work harder to address those perceived roadblocks.","They also acknowledged that service members worry that it could affect promotions or security clearances, because they are reluctant to come forward and seek help. And military leaders said they must all work harder to address those perceived roadblocks."
42,斯柯达为驾驶员提供语音数字助理,Skoda to provide drivers with voice activated digital assistant,Skoda to provide voice activated digital assistant with drivers.
43,据伊朗国家通讯社报道，伊朗港口和海事管理局证实：这艘名为斯坦纳·安普里奥的油轮已于上午 9 点离开阿巴斯港。,"Iranian Ports and Maritime Administration confirmed that the vessel, Stena Impero, left Bandar Abbas port at 9 a.m., the state-run IRNA reported.","The state-run IRNA reported that the vessel, Stena Impero, left Bandar Abbas port at 9 a.m., Iranian Ports and Maritime Administration confirmed."
44,这家世界最大的咖啡公司在星期五的一份声明中表示，公司发现草甘膦残留量接近一些绿色咖啡豆产品中草甘膦残留最高限量。,The world's largest coffee company said in a statement Friday that it had found glyphosate residues close to the maximum allowed in some deliveries of green coffee beans.,The world's largest coffee company said in a statement Friday that it had found maximum allowed residues close to glyphosate in some deliveries of green coffee beans.
45,但这并没有阻止成千上万的人士对孟山都公司提起诉讼，他们声称因接触了农达导致他们或他们的亲人罹患癌症。,But that has not stopped thousands of people from filing lawsuits against Monsanto alleging that exposure to Roundup caused them or their loved ones to develop cancer.,"But that has not stopped thousands of people from developing cancer and filing lawsuits against Monsanto, alleging that exposure to Roundup caused them or their loved ones."
46,皮克维尔的加兰·兰卡斯特告诉北卡罗莱纳教育彩票官员，当他在皮克维尔的威萨姆兄弟公司逗留时，他用自己的五组号码买了五张现金彩票，可在星期一晚上进行五次抽奖。,Add Lancaster of Pikeville told North Carolina Education Lottery officials he used five sets of his own numbers to buy a Cash 5 ticket with five plays for Monday night's drawing when he stopped at Wissam & Brothers Inc. in Pikeville.,Add Lancaster of Pikeville told North Carolina Education Lottery officials he used five sets of his own numbers to buy a Cash 5 ticket with five plays for Monday night's drawing when he stopped at Wissam & Brothers Inc. in Pikeville.
47,天空新闻获悉，托管机构主席史蒂夫索·斯特正与几家公司就一项买断协议进行谈判，该协议将使托马斯·库克养老金计划的 1.4 万名的多数成员免于养老金支付的大幅减少。,"Sky News has learnt that Steve Southern, chair of the trustees, is holding talks with several parties about a buyout deal that would avoid most of Thomas Cook's 14,000 pension scheme members facing a steep cut to their payments.","Sky News has learnt that Steve Southern, chair of the trustees, is holding talks with several parties about a buyout deal that would cause most of Thomas Cook's 14,000 pension scheme members to face a steep cut to their payments, avoiding a buyout deal."
48,距离蜘蛛侠僵局的终结已过去一个多月，据报道，当时两家公司无法就之前的电影《英雄归来》和《英雄远征》的续集达成协议。,"The end to the Spidey standoff came more than a month after it was reported the two studios were unable to reach terms on a deal for a sequel to their previous films, ""Homecoming"" and ""Far From Home.""","The two studios were unable to reach terms on a deal for a sequel to their previous films, ""Homecoming"" and ""Far From Home,"" more than a month after it was reported, the end to the Spidey standoff came."
49,哈里斯县地方检察官金·奥格在一份声明中说：“我们感谢陪审员在过去几周里对案件中每一件证据的关注”。“毫无疑问，哈斯克尔精心策划并实施了屠杀斯塔全家的行动。”,"We are grateful for the jurors' rapt attention over the last many weeks to every piece of evidence in the case, Harris County District Attorney Kim Ogg said in a statement. ""There was never a reasonable doubt that Haskell meticulously planned and carried out the slaughter of the Stay family.""","There was never a reasonable doubt that Haskell meticulously planned and carried out the slaughter of the Stay family, Harris County District Attorney Kim Ogg said in a statement. ""We are grateful for the jurors' rapt attention over the last many weeks to every piece of evidence in the case."""
50,资深国会议员哈里特·哈曼和肯·克拉克均已被提名为领导联合政府的潜在人选，但苏格兰民族党的资深消息人士坚称必须是工党领袖才行。,Veteran MPs Harriet Harman and Ken Clarke have both been named as potential figures to lead a unity government but a senior SNP source insisted it had to be the Labour leader.,"Veteran MPs Harriet Harman and Ken Clarke have both been named as potential figures to lead a unity government, but a senior SNP source insisted it had to be the Labour leader although the senior SNP source insisted it had to be the Labour leader."
51,西班牙《国家报》的一篇报道称，西班牙私人安保公司涉嫌向美国中央情报局提供阿桑奇与其律师会面的音频和视频。,"A report in Spanish newspaper El Pais said the company, UC Global SL, allegedly handed over audio and video to the CIA of meetings Assange held with his lawyers.","A report in Spanish newspaper El Pais said the company, UC Global SL, allegedly handed over audio and video to Assange of meetings held by the CIA with his lawyers."
52,消息人士说，这一行动符合莫迪总理在红堡向全国发表的讲话，当时莫迪曾表示，税务部门的一些害群之马可能滥用权力，骚扰纳税人，要么针对诚实的评估对象，要么对轻微或程序性违规行为采取过度行动。,"Sources said the action was in line with Prime Minister Narendra Modi's address to the nation from the ramparts of the Red Fort when he had said some black sheep in the tax administration may have misused their powers and harassed taxpayers, either by targeting honest assesses or taking excessive action for minor or procedural violations.","Sources said the action was in line with Prime Minister Narendra Modi's address to the nation from the ramparts of the Red Fort when he had said some black sheep in the tax administration may have harassed taxpayers and misused their powers, either by targeting honest assesses or taking excessive action for minor or procedural violations."
53,在这位加州民主党人发表上述言论之前，一名不愿透露姓名的情报官员周四向美国情报机构监察长迈克尔·阿特金森提交了这份起诉书。阿特金森把它交给了国家情报总监约瑟夫·马奎尔。,"The California Democrat's words follow a release of the complaint Thursday, which was submitted by an unidentified intelligence official to Intelligence Community Inspector General Michael Atkinson. Atkinson turned it over to national intelligence director Joseph Maguire.","Joseph Maguire turned it over to national intelligence director Atkinson, following a release of the complaint Thursday, which was submitted by an unidentified intelligence official to Intelligence Community Inspector General Michael Atkinson. The California Democrat's words follow."
54,哈里斯郡陪审团裁定，现年 39 岁的罗纳德·哈斯克尔于 2014 年 7 月杀害斯塔家庭 6 名成员的罪名成立：包括父母斯蒂芬·斯塔和凯蒂·斯塔，孩子 13 岁的布赖恩、 9 岁的埃米莉、7 岁的丽贝卡和 4 岁的扎克。,"A Harris County jury found Ronald Haskell, 39, guilty in the July 2014 killings of six members of the Stay family: parents Stephen Stay and Katie Stay, and children Bryan, 13, Emily, 9, Rebecca, 7 and Zach, 4.","A Harris County jury found Ronald Haskell, 39, guilty in the July 2014 killings of six members of the Stay family: parents Stephen Stay and Katie Stay, and children Bryan, 9, Emily, 13, Rebecca, 4 and Zach, 7."
55,金特罗对组织杀害多名人权活动家和社区领袖负有责任，该声明补充道。,"Quintero was responsible for the killings of human rights activists and community leaders, the statement added.",The statement added that the killings of human rights activists and community leaders were responsible for Quintero.
56,这位公爵夫人和哈里王子目前正携爱子阿尔奇·哈里森·蒙巴顿-温莎进行为期 10 天的南非皇家之旅，本周早些时候，他们已参加一场青年招待会，并与奥巴马基金会领导人会面。,"The duchess and Prince Harry, now on a 10-day royal tour of South Africa with their baby son Archie Harrison Mountbatten-Windsor, attended a youth reception earlier this week and met Obama Foundation leaders.","The duchess and Prince Harry, now on a 10-day royal tour of South Africa with their baby son Archie Harrison Mountbatten-Windsor, attended a youth reception earlier this week and met Obama Foundation leaders, causing their baby son Archie Harrison Mountbatten-Windsor."
57,使用方便,Easy use,Use easy.
58,在 2014 年为家人举行的追悼会上，卡西迪感谢社会各界的支持，并表示父母、两个兄弟和两个姐妹“在天堂，总有一天能再见到他们，她感到很欣慰。”,"At a 2014 memorial for her family, Cassidy thanked the community for its support and said that she was comforted knowing her parents, two brothers and two sisters are ""in a much better place, and that I'll be able to see them again one day.""","At a 2014 memorial for her family, Cassidy thanked the community for its support and said that she was comforted knowing her parents, two brothers and two sisters are ""in a much better place, and that I won't be able to see them again one day."""
59,据报道，为了登上头条新闻，他会戴上口罩，并在自己的鼻子上贴上胶带，以引发热议。,"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.","To spark conversation, he would reportedly put tape on his nose and don surgical masks to get front pages."
60,一位消息人士称：“特里斯坦和德雷克是好朋友，在他计划追回卡戴珊的时候，他一直在询问德雷克的建议。,"A source said: ""Tristan is good pals with Drake and has been using him as a sounding board as he plots his return to the Kardashian fold.","A source said: ""Tristan is good pals with Drake and, as he plots his return to the Kardashian fold, has been using him as a sounding board."""
61,“她们一直责备父亲放任这种事情发生，尤其是碧翠斯一直恳求安德鲁王子不要把她们的母亲当作被驱逐的人一样对待。”,They are constantly berating their father for allowing it to happen and Beatrice in particular has been imploring Prince Andrew to see that their mother is not treated as an outcast.,They are constantly berating Prince Andrew for allowing it to happen and Beatrice in particular has been imploring their father to see that their mother is not treated as an outcast.
62,但波罗申科期望特朗普政府如何在今年 3 月和 4 月举行的两轮乌克兰总统选举之前帮助他扭转颓势，目前尚不清楚。无论如何，他都受到了重击，惨败给了泽伦斯基，后者手下的官员很快成为特朗普团队着手打击拜登的新目标。,"How Mr. Poroshenko expected the Trump administration to help lift his sagging fortunes ahead of Ukraine's presidential election, held in two rounds in March and April this year, is unclear. He got trounced anyway, losing emphatically to Mr. Zelensky, whose own officials quickly became the Trump team's new targets in its drive to damage Mr. Biden.","How Mr. Poroshenko expected the Trump administration to damage Mr. Biden in its drive to lift his sagging fortunes ahead of Ukraine's presidential election, held in two rounds in March and April this year, is unclear. He got trounced anyway, losing emphatically to Mr. Zelensky, whose own officials quickly became the Trump team's new targets in their attempt to help Mr. Poroshenko."
63,1 名中国维权人士在举牌要求中国领导人习近平下台以后被捕并遇难，多名维权人士呼吁彻查其真实死因。,"Human rights advocates are calling for an investigation into the death of a Chinese activist, arrested after holding up a placard calling for Chinese leader Xi Jinping to step down.","Chinese leader Xi Jinping is calling for an investigation into the death of a Chinese activist, arrested after holding up a placard calling for human rights advocates to step down."
64,这只名叫斯特拉的宝宝于本月初在牛津郡的科茨沃尔德野生动物园出生，它是蒙蒂和鲁比所生的第一个雌性宝宝。,"Baby Stella was welcomed into the world at Cotswold Wildlife Park, Oxfordshire, earlier this month and is the first female born to parents Monty and Ruby.","Baby Stella was welcomed into the world at Cotswold Wildlife Park, Oxfordshire, earlier this month and is the first female born to parents Monty and Ruby."
65,星期四，SBD Automotive 公司的高级联网汽车专家杰克·帕尔默通过电子邮件向 CNBC 频道发送了一份声明，他在声明中说：“语音是汽车理想的交互工具。”,"Voice is the ideal interaction tool in the vehicle, Jack Palmer, a senior connected car specialist at SBD Automotive, said in a statement sent to CNBC via email on Thursday.","Jack Palmer, a senior connected car specialist at SBD Automotive, said in a statement sent to CNBC via email on Thursday, ""In the vehicle, the ideal interaction tool is voice."""
66,“游客将赞叹......我们分享的珍宝——五个联合国教科文组织世界遗产地、充满活力的当地文化和令人叹为观止的自然美景。”,"Visitors will be surprised... by the treasures we have to share -- five UNESCO World Heritage Sites, a vibrant local culture and breathtaking natural beauty.","Visitors will be surprised by the treasures we have to share -- five UNESCO World Heritage Sites, a vibrant local culture and breathtaking natural beauty, because they will be visiting."
67,首先，让我们看看较为悲观的一面。德·格罗德确实在精神病发作期间捅死了 5 个人。这是一次不可预测的暴力袭击。他患有精神分裂症，这就是为什么他被裁定不负刑事责任，但此后一直在看精神病医生和服用药物。他的精神科医生桑托克·雷曾在审查委员会面前表示，“如果马修·德·格罗德再次犯法，那将后果严重。” 尽管他感觉有进步，但仍有再次攻击他人的风险。但这个理由足以令人继续害怕吗？这个理由足够把德格罗德关起来吗？,"First, let's examine the more pessimistic side. De Grood did stab and kill five people during a psychotic break. It was a violent and unpredictable attack. He suffers from schizophrenia, which is why he was found not criminally responsible, but has since been seeing a psychiatrist and taking his medication. His psychiatrist, Dr. Santoch Rai, has said in front of the review board that ""if Matthew de Grood were to commit another offence, it would be severe."" Despite his perceived improvement, there is still risk of re-offense. But is this reason enough to remain afraid? Is it enough to keep de Grood locked up?","First, let's examine the more pessimistic side. De Grood did not stab and kill five people during a psychotic break. It was not a violent and unpredictable attack. He suffers from schizophrenia, which is why he was found criminally responsible, but has since stopped seeing a psychiatrist and taking his medication. His psychiatrist, Dr. Santoch Rai, has said in front of the review board that ""if Matthew de Grood were to commit another offense, it would not be severe."" Despite his perceived improvement, there is no risk of re-offense. But is this reason enough to remain unafraid? Is it enough to release de Grood?"
68,科尔宾先生呼吁保守党叛徒和反对党议员在八月支持他领导临时政府，但此举遭到了抵制，尤其是来自自由民主党领袖乔·斯温森的抵制。,"Mr Corbyn called on rebel Tories and opposition MPs to back him to lead a temporary administration in August - but the move was met with resistance, particularly from the Liberal Democrat leader Jo Swinson.","Mr Corbyn called on rebel Tories and opposition MPs to back Jo Swinson, the Liberal Democrat leader, to lead a temporary administration in August - but the move was met with resistance, particularly from him."
