zh,en
研究。研究表明，通过 OraQuick 艾滋病毒自检试剂盒进行检测的艾滋病毒感染者和非感染者，检测结果的准确率超过 99%。,"Research. According to the research, OraQuick HIV self-test detected more than 99 per cent of people, who were infected with HIV and people, who were not infected with HIV."
巴西石油监管机构 - 巴西国家石油管理局局长德西奥·奥多内指出，该机构认为，可能是一艘远离巴西海岸的油轮泄露了石油，但又补充道，这种可能性尚未得到证实。该管理局的一份声明表示，没有收到国内任何石油钻井平台发生泄漏的报告。,"The head of Brazil's oil agency ANP Decio Oddone said the agency believes the oil could have been spilled by a tanker transporting the crude far from the Brazilian coast, but added this possibility has not yet been confirmed yet. An ANP statement said there were no reports of spills by any operator of oil drilling rigs in the country."
他说：“如果情况许可，他将被高等法院宣判无罪，”。,"""Inshallah (God willing), he will be acquitted by a high court,"" he said."
问题层出不穷，法国化工厂大火被扑灭,French chemical fire extinguished as questions mount
特朗普后来对伊朗作出回应，“当然不会！”他表示伊朗希望他能取消制裁，以便举行会议。,"Trump later said he responded ""of course, NO!"" to Iran who he said wanted him to lift the sanctions in order to meet."
佩洛西在星期四上午的新闻发布会上说道，绝大部分民主党人同意这一策略，即“告密者控告”是“当下的重点”。,"Democrats are largely in agreement about the strategy, with Pelosi saying during her press conference on Thursday morning that the whistleblower complaint is ""the focus of the moment."""
铃木瑟玟疾呼的环境问题反映的是 20 世纪 90 年代初的世界，当时的生态问题聚焦在滥砍滥伐、臭氧层消耗和物种灭绝方面。但在实施了若干年的干预措施后，人类相当成功地解决了这些问题。得益于具有里程碑意义的化学品禁令，臭氧消耗速度显著减缓，而全球森林覆盖面积也大大增加，增加的面积相当于德克萨斯和阿拉斯加两个州面积的总和。,"The environmental problems addressed by Cullis-Suzuki reflect the world of the early 1990s, when deforestation, the depletion of the ozone layer, and the extinction of species were the ecological concerns de jour. Yet humanity has been fairly successful at resolving those problems in the intervening years. Thanks to a landmark chemicals ban, ozone depletion has slowed dramatically, and forest cover worldwide has increased by an area the size of Texas and Alaska combined."
"""德雷克告诉他，如果他想追回科勒，就必须全力以赴。","""Drake told him to pull out all the stops if he wanted to win Khloe back."
米纳西安称自己为“incel”，这个词是“非自愿独身者”的缩写。 非自愿独身运动是一种网上亚文化群，与多伦多的致命袭击以及加利福尼亚和佛罗里达的袭击有关。这个群体提倡厌恶女性的观念，即男性有权与女性发生性关系。,"Minassian calls himself an ""incel,"" short for ""involuntary celibate."" The incel movement is an online subculture linked to the deadly attack in Toronto as well as attacks in California and Florida. It promotes the misogynistic idea that men are entitled to have sex with women."
波士顿（路透社）——在美国股市首秀的公司反响平平，尤其是当它们正在亏损时，这给在今年余下时间的首次公开发行的日历上蒙上了阴影。,"BOSTON (Reuters) - Companies making their debut on the U.S. stock market are getting a rough welcome, especially if they are losing money, casting a shadow over the calendar for initial public offerings for the rest of the year."
据当地报道，8 月，在瑞士洛桑，数百名气候罢工组织者聚集在一起，为本周的活动做准备，数千人在该市游行。,"In Lausanne, Switzerland, where hundreds of climate strike organizers gatheredin August planning for this week's events, thousands of people marched through the city, according to local reports."
时值甘地诞辰 150 周年，如果特朗普和莫迪能牢记甘地的忠告，他们在任期的表现应该会非常更好。,"Trump and Modi would do very well to keep Gandhi's advice in mind, 150 years after his birth."
据美国国家大气和海洋研究机构的太空天气预报中心称，预计 9 月 27 日至 9 月 29 日将发生地磁扰动。高速太阳风可能导致中等地磁风暴 (G2),"Geomagnetic disturbances are expected from September 27 to September 29, according to the US National Atmospheric and Oceanic Research Agency's Space Weather Forecast Center. Moderate geomagnetic storm (G2) is possible due to high-speed solar wind"
“作为创始人，我们很多人都创造了令人惊叹的成绩，但与一位王室成员会面有些令人生畏。她很随和。她是一位随和的王室成员。”,"'A lot of us have done amazing things as founders, but meeting a royal is quite daunting. She made it easy. She is an easy-going royal.'"
“你们用你们的空话偷走了我的梦想和童年，”她在星期二说道。“子孙后代的眼睛都盯着你们，如果你们的选择让我们失望，我可以说我们永远不会原谅你们”。,"""You have stolen my dreams and my childhood with your empty words,"" she said on Tuesday. ""The eyes of all future generations are upon you and if you choose to fail us, I say we will never forgive you."""
据新闻稿称，艾米·帕斯卡也将通过帕斯卡影业制作影片，就像她在执导霍兰德主演的前两部电影中一样。,"Amy Pascal will also produce through Pascal Pictures, as she has on the first two Holland-led films, the release said."
加州大学旧金山分校的一位社会心理学家安东尼娅·比格斯被问及这项研究时，同意某些女性会改变想堕胎的想法或她们一开始就拿不定主意。但她指出，该研究没有证明是犹他州的强制等待期让女性改变了主意，也没有发现它在其他方面对女性有利。,"Questioned about the study, Antonia Biggs, a social psychologist researcher at the University of California San Francisco, agreed that some women change their minds about having an abortion or are uncertain to begin with. But she noted that the study did not find that Utah's mandatory waiting period caused women to change their minds or that it was otherwise beneficial to women."
新数据显示，收入差距最严重的地区往往是财富集聚的地区，包括华盛顿特区、纽约州和康涅狄格州，当然还有些一贫如洗的地区，像波多黎各和美国路易斯安那州。而在犹他州、阿拉斯加州、爱荷华州、北达科他州和南达科他州，这五个州的经济平等程度最高。,"The new data shows that income inequality is most acute in places where wealth is concentrated, including DC, New York and Connecticut, as well as in poverty-ridden areas like Puerto Rico and Louisiana. Utah, Alaska, Iowa, North Dakota and South Dakota had the most economic equality."
然后，他分享了一篇更长的帖文，描绘了两人手挽手的情景，敦促他的追随者勇敢面对参议院多数党领袖米奇·麦康奈尔（肯塔基州共和党人），并向共和党参议员施压，将《平权法案》提交参议院表决：,"He then shared a longer post picturing the two of them arm in arm, urging his followers to stand up to Senate Majority Leader Mitch McConnell (R-Ky.) and apply pressure to GOP senators to bring the Equality Act up for a Senate vote:"
摇滚传奇乐队“何许人”正在美国巡演。德克萨斯州休斯顿，罗杰·达尔特雷被迫在演唱会进行到一半时取消了演出。这位 75 岁的歌手面对失望的观众说道：“我觉得最好是见好就收。” 乐队已经演唱了八首歌，但答应将来有一天再回来演出。观众通过看视频，回顾乐队如何在舞台崭露头角的发展历程。,"Rock legends The Who are on a major US tour. In Houston, Texas, Roger Daltrey was forced to call off the concert less than halfway through. The 75-year-old told the disappointed audience: ""I think I should quit while I'm ahead."" The band had performed eight songs already but promised to try and return for another show one day in the future. Watch the video of how it all unfolded on stage."
去年，基迪亚“娱乐城”在利雅得附近动工建设，将包括高端主题公园、汽车运动设施和一个狩猎区。,"Last year, construction of Qiddiya ""entertainment city"" was launched near Riyadh, which would include high-end theme parks, motor sport facilities and a safari area."
塔西先生说道，相关研究表明没有发生自杀事件，而且卫生部有信心避免这种可能发生的悲剧，因为检测属于自愿行为。,Mr Tasi said studies conducted showed no suicide cases and the ministry is confident that the potential of harm can be avoided because the test is voluntary.
8 月 8 日，沃伦在爱荷华州的一次竞选巴士旅行中，在一个柠檬水摊前停下，摊位上有两个 11 岁的孩子：西耶娜·米歇尔斯和奥黛丽·比林斯。,"On August 8, Warren stopped by a lemonade stand staffed by two 11-year-old children, Sienna Michels and Audrey Billings, during a campaign bus tour across Iowa."
由于担心遭到报复，许多选民（尤其是农村地区的选民）将留在家里，而另一些人则表示，投票选举的制度是给有权势的人准备的，不适合穷人。,"The fear of reprisals means many voters - particularly in rural areas - will stay at home, while others say the voting system favours the powerful, not the poor."
对首次公开募股更加挑剔的市场周五继续惩罚 Peloton Interactive Inc (PTON.O)，这是它开始交易的第二天，这家健身公司的股价下跌至 24.74 美元，跌幅为 4%。该公司目前的股价较周三的首次公开募股价格下跌了 15%。,"A more discerning market for initial public offerings continued to punish Peloton Interactive Inc PTON.O on Friday, a day after it began trading, as shares of the fitness startup fell 4% to $24.74. The company is now trading 15% below its Wednesday IPO price."
“我不得不穿一套肥大的西装，”戴维斯对主持人吉米·坎摩尔说，“我喜欢这套西装。我告诉他们我想要非常非常大的[咒骂语]。我想看起来成熟一些。”,"""I had to wear a fat suit,"" Davis told host Jimmy Kimmel. ""I loved it. I told them that I wanted really, really big [expletive]. I wanted to look like the women I grew up with."""
谈判代表还表示“时间不多了”，“英国首相和他的团队有责任”拿出一份认真的提议。,"He added that ""time is running out"" and ""the onus is on the British prime minister and his team"" to put serious proposals on the table."
燃烧罗波那肖像象征着邪不胜正。但这些肖像是纸做的，如果季风持续，罗波那可能会笑到最后。,"Burning Ravana symbolises the triumph of good over evil. But given that the effigies are made of paper, if the monsoon continues, Ravana might have the last laugh."
早些时候，巴洛赫的母亲安瓦尔·迈告诉 AFP，她曾希望儿子能被无罪释放。,"Earlier, Baloch's mother Anwar Mai told AFP she had hoped her son would be acquitted."
教皇方济各星期五向科技公司高管、外交官和金融家发出警告，创建人工智能和进行其他形式的数字发展竞赛增加了社会不平等的风险，除非这项工作设有对公共利益的伦理评估。,"Pope Francis on Friday warned tech company executives, diplomats and financiers that the race to create artificial intelligence and other forms of digital development pose the risk of increasing social inequality unless the work is accompanied by an ethical evaluation of the common good."
自最高法院作出暂停大选不合法的裁定以来，这是议会第二次召开会议。,Parliament has met for the second day since the Supreme Court ruled its suspension as unlawful.
获得表彰的五名学生分别是：尼古拉斯·加拉格尔和詹姆斯·奥斯本（均为生命科学专业学生）、费伦茨·小介石川·具体（医学专业）、凯特琳·斯科特（解剖科学）和瓦科·横山（哲学）。,"Included in the five praised students were Nicholas Gallagher and James Osbourne (both Life Sciences), Ferenc Kohsuke Ishikawa Gutai (Medicine), Caitlyn Scott (Anatomical Sciences) and Waco Yokoyama (Philosophy)."
苏格兰政府已发起一场咨询以征求公众意见。,A consultation has been launched by the Scottish Government seeking the public's views.
本月早些时候，海军报道了在乔治·H·W·布什号航空母舰服役的三名机组人员在一周之内先后结束了自己的生命。这突显了在确定可能存在问题的服役人员以及寻找防止自杀的方法这两方面遇到的困难。,The difficulties involved in identifying service members with possible problems and finding ways to prevent suicides were underscored earlier this month when the Navy reported that three crew members who served on the USS George H.W. Bush took their own lives within a week.
该声明是在星期四发出的，这一周恰逢“告密者控告”在华盛顿引起轩然大波，“控告”指称特朗普在即将到来的 2020 年选举中滥用官方权力“寻求乌克兰总统沃洛德米尔·泽伦斯基的干预”，而白宫采取措施掩盖了此事。白宫在星期三发布的七月电话会谈文字记录显示，特朗普反复敦促泽伦斯基调查前副总统乔·拜登和他的儿子亨特。,"The statement on Thursday comes amidst an explosive week in Washington rooted in a whistleblower complaint alleging that Trump abused his official powers ""to solicit interference"" from Ukrainian President Volodymyr Zelensky in the upcoming 2020 election, and the White House took steps to cover it up. A transcript of July phone conversation released by the White House on Wednesday shows Trump repeatedly pushed Zelensky to investigate former Vice President Joe Biden and his son, Hunter."
莫罕达斯·卡拉姆昌德“圣雄”甘地生于 1869 年 10 月 2 日，一生致力于道德、非暴力、宽容和社会公正事业，为全世界留下了宝贵的遗产。他对美国两次最重大的全民运动都有着深刻的影响。,"Mohandas Karamchand ""Mahatma"" Gandhi, who was born on Oct. 2, 1869, left a worldwide legacy with his focus on ethics, nonviolence, tolerance and social justice. He had a profound impact on two of the most important mass mobilizations in the United States."
"“抽奖时，我的妻子帮我写下号码，”兰卡斯特说，“当我的妻子把纸递给我，我核对了一下彩票后，我简直不敢相信。其中一行匹配 5 个数字，其余行匹配 4 个数字。我大叫起来，‘我中奖了！中奖了！我中彩票了!'""","""My wife writes down the numbers for me during the drawing,"" Lancaster said. ""When she handed me the paper, so I could check my ticket, I couldn't believe it. One of my lines matched five numbers and the other ones matched four numbers. I started shouting, 'I got it! I got it! I hit the lottery!'"""
他说：“另一件事是，拜登儿子有很多传言，拜登还终止了一桩起诉，很多人想找出此事，如果你能和司法部长一起做些什么，那就最好了”。“拜登到处吹嘘说他阻止了起诉，你能否调查一下，这对我来说......听起来太可怕了。”,"""The other thing, there is a lot of talk about Biden's son, that Biden stopped prosecution and a lot of people want to find out about that so whatever you can do with the Attorney General would be great,"" he said. ""Biden went around bragging that he stopped the prosecution, so if you can look into it...sounds horrible to me."""
考克斯还分享了一个帖子，说乔·考克斯的名字“不仅仅是一个政治得分点”，并配上字幕“这个。谢谢你。” 科尔宾的视频以他谈论考克斯夫人三年前在西约克郡选区被一名极右翼激进分子谋杀为开头，人们对科尔宾反应强烈。,"He also shared a post which said Jo Cox's name was ""more than a political scoring point"" with the caption ""This. Thank you."" Mr Corbyn was facing a backlash for his video which opens with him talking about Mrs Cox's murder three years ago by a far-Right activist in her West Yorkshire constituency."
罗马尼亚在黑海军事基地斥资达数十亿,Romania Invests Billions in a Black Sea Military Base
从一个网页搜索引擎开始发展成为一个庞大的企业集团字母控股，谷歌是其旗下的一家附属公司。如今，谷歌在全球范围内以超过 100 种语言运营，每年回答数万亿次的搜索查询。,"What started out as a Web search engine has since turned into a massive conglomerate that calls itself Alphabet and Google is a subsidiary company. Today, Google operates all over the world in over 100 languages, answering trillions of search queries each year."
“他是一只有统治力的公牛和体贴的家长的完美结合。,'He is the perfect combination of a dominant bull and caring patriarch.
蓬佩在参加纽约联合国大会举行的新闻发布会上说：“阿萨德政权要为无数暴行责任，其中一些暴行已上升到战争罪和反人类罪的程度。”,"""The Assad regime is responsible for innumerable atrocities, some of which rise to the level of war crimes and crimes against humanity,"" Mr Pompeo told a news conference in New York, where he has been attending the United Nations General Assembly."
罗布森和塞夫查克均声称，他们小时候就受到杰克逊虐待多年。,Both Robson and Safechuck allege that they were abused by Jackson as children for a number of years.
苏格兰民族党可能支持杰里米·科尔宾出任临时首相，以阻止无协议脱欧,SNP could support Jeremy Corbyn as temporary PM to stop no-deal Brexit
在这些照片中，有来自得克萨斯州的百万富翁约翰·布莱恩亲吻、吮吸公爵夫人的脚趾和足弓的画面，据说菲利普亲王对公爵夫人儿媳的丑闻行为反应最为强烈。,"The snaps appeared to show Texan millionaire John Bryan kissing and sucking the Duchess"" toes and the arch of her foot, and Prince Philip in particular, is said to have had the strongest reaction to her daughter-in-law's scandalous antics."
西尼罗河病毒源自非洲，但通过候鸟和蚊子已向北传播。近年来，欧洲南部和中部已爆发多次。美国大部分地区也有病例确诊。,The virus originated in Africa but has been spread northward by migratory birds and mosquitoes. There have been several outbreaks in southern and central Europe in recent years. It is found in much of the U.S.
匈牙利总理奥尔班为该国欧委会委员候选人辩护，“手头有解决方案”,"Hungarian PM Orban defends his candidate for EU executive, ""has solutions in pocket"""
“何许人”乐队暂停昨晚的音乐会：星期五和星期日的演出取消了,The Who STOP concert last night: Friday and Sunday shows CANCELLED
“名誉”杀人的根源于部族社会规范，这种规范在整个南亚仍然普遍存在，并特别规范女性的行为，尽管男子也可能成为受害者。,"The roots of ""honour"" killings lie in tribal social norms, which remain prevalent across South Asia and dictate the behaviour of women in particular, though men can be victims too."
国务卿说，美国呼吁其他国家也“站起来谴责袭击”，并贡献力量。,"The U.S. calls on other countries to also ""stand up and condemn the attacks,"" as well as contribute capabilities, the secretary said."
在美国，第三季度的大部分注意力都集中在一项未能实现的交易上——WeWork 母公司 We Company 计划的首次公开募股。,"In the United States, much of the attention in the third quarter has focused on a deal that failed to come to fruition - the planned IPO of WeWork parent We Company."
兰卡斯特有一行 5 个数字都与中奖号码匹配，为他赢得了 163634 美元的奖金，而其余行 4 个 数字与各自中奖的号码匹配为他赢得了 250 美元的奖金。,"Lancaster's line that matched all five numbers earned him the $163,634 jackpot, while the lines that matched four numbers each won $250."
自年初以来，液化天然气投资已达 500 亿美元，创历史最高水平，国际能源署署长法提赫·比罗尔在一次行业大会上说道。,"Investments in liquefied natural gas since the start of the year have hit an all-time high of $50 billion, the International Energy Agency's head, Fatih Birol, told an industry conference."
这位赤身露体的购物者的身份仍不得而知，但看起来在即兴上演了这场脱衣表演后，店家允许她离店了。,"The birthday-suited shopper's identity remains unknown, though she appears to have been allowed to leave the premises after the impromptu peep show."
这就是这艘令人惊奇的考察船将要做的事，找出事实，寻求科学之法，以处理当今世界面临的问题，未来将有越来越多的人去这样做。”,"""That's what this astonishing ship will be here to do, to find out the facts and find the science with which to deal with problems that are facing the world today and will increasingly do so tomorrow."""
他星期四说，博物馆将建立在维迪亚萨加位于巴杜尔巴甘地区的住所内，将展出照片和模型，这些照片和模型记录了维迪亚萨加的一生，覆盖从出生在帕斯奇姆麦地尼普尔区比尔辛格普尔村到搬迁至加尔各答北部居所的各个时期。,"The museum will come up at Vidyasagar's residence at Badur Bagan area where pictures and models, chronicling his life from his birth place at Birsinghapur village in Paschim Medinipur district to the house in north Kolkata, will be put on display, he said on Thursday."
航空监管机构表示，在星期一启动的和平时期最大规模的遣返行动“马特宏恩计划”中，已经接回了超过 40% 的乘客。,The aviation regulator said it has brought back over 40% of the total number of passengers in the largest peacetime repatriation 'Operation Matterhorn' launched on Monday.
启动旅游业是穆罕默德·本·萨勒曼王储 2030 年愿景改革计划的核心内容之一，该计划旨在为后石油时代发展最大阿拉伯经济体做好准备。,Kickstarting tourism is one of the centrepieces of Crown Prince Mohammed bin Salman's Vision 2030 reform programme to prepare the biggest Arab economy for a post-oil era.
“他们大笑着跑开以后，我只是坐在那里，”阿玛丽说道。,"""They ran off laughing, and I was just sitting there,"" Amari said."
一名北卡罗莱纳男子在同一次彩票抽奖中抽中五次,North Carolina man wins five times in the same lottery drawing
警察说，他强行进入并绑住卡西迪。几分钟后，当她的家人回来时，哈斯克尔把他们绑起来，要求说出前妻的下落。他们说他们不知道，他们都是后脑勺中枪。,"He forced his way inside and tied up Cassidy, officials said. When the rest of her family returned minutes later, Haskell tied them up and demanded to know the whereabouts of his ex-wife. They said they didn't know, and they were each shot in the back of the head."
“我希望观众看电影时候能更加放松，”地标影院董事长兼首席执行官泰德·蒙多夫告诉好莱坞的记者。,"""I want customers to be comfortable in their surroundings,"" Landmark President-CEO Ted Mundorff told the Hollywood Reporter."
照片墙的测试始于加拿大，随后扩展到了澳大利亚、巴西和其他几个主要用户市场。,"What began as a test on Instagram in Canada was expanded to Australia, Brazil and several other major markets."
工党高级议员伊维特·库珀的女儿埃莉·库珀在推特上发布了一条快速传播的帖子，描写她在考克斯被谋杀后对母亲的担忧。埃莉·库珀指责约翰逊“用言论煽动对议员的暴力。”,"And in a viral Twitter thread, Ellie Cooper, the daughter of senior Labour MP Yvette Cooper, described her fears for her mother in the wake of Ms Cox's murder . She accused Mr Johnson of ""using language that helps incite violence toward MPs."""
禁止面具与假枪多出于实际的安全考虑，但随着《小丑》的上映日渐临近，人们担心它会引发模仿枪击事件。洛杉矶警察局表示，在首映当天，警察会在影院周边“严阵以待”，而全美第二大连锁院线帝王影院则表示，正在实施“与北约合作”开发的安保措施。,"The ban on masks and fake guns was mostly due to practical security reasons, but as the release of ""Joker"" draws closer, there are concerns that it may trigger a copycat gun attack. The LAPD said it would ""maintain high visibility"" around theaters on premier day, while Regal Cinemas, the second-largest chain in the country, said it was implementing security protocols developed ""in collaboration with NATO."""
学校对三名学生进行了正式处罚，并亲自对该足球队的行为展开调查。,"Three students were formally disciplined by the university, which launched its own investigation into the football team's conduct."
政府又有 15 名税务高官因贪污而退休,Government Retires 15 More Senior Tax Officials On Graft Charges
该男子大约在上午 9:30 到达工作单位，在此之前，他未能回复同事发来的几条信息和打来的电话。,The man arrived at work about 9.30am after failing to reply to several text messages and phone calls from colleagues.
他说，他已经得到现任警长理查德·刘易斯的保证，一旦他意识到这些失误，就会立即采取“迅速行动”。,"He said he had received assurances from the current chief constable Richard Lewis that ""swift action"" was taken as soon as he became aware of the failings."
肉桂由肉桂树的内皮制成，是一种广受欢迎的调料，是各种食品的调味剂，甚至本身已成为一种独特风味。,"Made from the inner bark of the Cinnamomum tree, cinnamon is a widely popular spice, earning itself a place in a large variety of food and even becoming a flavor itself."
感染该病毒的患者中有不到 1％ 会罹患危险的脑膜炎或脑炎。,The virus causes dangerous meningitis or encephalitis in less than 1% of those infected.
"谷歌在“我们的故事”页面上写道：“对更好答案的不懈搜索仍然是我们所做一切的核心”。“如今，谷歌在 50 个不同国家拥有超过 60,000 名员工，从油管、安卓到心意宝，当然还有谷歌搜索，开发出数百种产品，供全球数十亿人使用 。尽管我们抛弃了乐高服务器，公司只增加了几只狗，但我们对为每个人打造技术的热情一直伴随着我们——从宿舍到车库，直到今天。","""The relentless search for better answers continues to be at the core of everything we do,"" Google writes on its Our Story page. ""Today, with more than 60,000 employees in 50 different countries, Google makes hundreds of products used by billions of people across the globe, from YouTube and Android to Smartbox and, of course, Google Search. Although we've ditched the Lego servers and added just a few more company dogs, our passion for building technology for everyone has stayed with us - from the dorm room, to the garage, and to this very day."
但我们确信它值得等待。,But we're sure it'll be worth the wait.
“就像我刚洗完澡一样。但是我认为情况应该不会太糟，因为室内有空调。”,"""It's like I got out of the shower. But I don't think it will be that bad because of the cooling system."""
克雷格说道，“站在我的立场，我一直不愿意仅从我希望受到约束的角度去推动调查，我想看看正当程序，并希望确保我们掌握了所有事实——这个程序将使我们能够做到这一点，”她还补充道，她支持由众议院情报委员会牵头的一项小范围调查。,"""I'm in a district where I've been reluctant to move forward only from the perspective where I want to be disciplined, I want to look at due process and want to make sure we get all of our facts -- and this process will allow us to do that,"" Craig said, adding she backed a narrow probe led by the House Intelligence Committee."
有趣的是，在 z66OD 的 12 个星系中，有一个是在 2009 年通过斯巴鲁望远镜发现的大型星系卑弥呼，其中包含了大量气体。卑弥呼星系发现者日本国家天文台和东京大学的团队成员长泽正美提到：“在卑弥呼这样的大质量天体附近是有可能发现原星团的。然而，我们惊讶的是，卑弥呼并不是位于原星系团的中心，而是在距离中心 5 亿光年的边缘上”。讽刺的是，神话中的皇后卑弥呼据说也是过着与世隔绝的生活。正美继续谈到：“目前尚不清楚为什么卑弥呼不在中间位置。但是这些结果将是了解星系团和大质量星系之间关系的重要信息。”,"Interestingly, one of the 12 galaxies in z66OD was a giant object with a huge body of gas, known as Himiko, which was found previously by the Subaru Telescope in 2009. ""It is reasonable to find a protocluster near a massive object, such as Himiko. However, we're surprised to see that Himiko was located not in the center of the protocluster, but on the edge 500 million light-years away from the center."" said Masami Ouchi, a team member at the National Astronomical Observatory of Japan and the University of Tokyo, who discovered Himiko in 2009. Ironically, the mythological queen Himiko is also said to have lived cloistered away from her people. Ouchi continues, ""It is still not understood why Himiko is not located in the center. These results will be a key for understanding the relationship between clusters and massive galaxies."""
二十年后，世界仍然没能摆脱地雷的威胁。哈里王子引爆了一个最新探测到的地雷，响亮而清晰地回应了母亲的遗志。,"Over two decades later, the world is still not free of these devices. And echoing his mother, loud and clear, Prince Harry detonated a recently detected mine."
法国当局发出警告，大火被扑灭后会散发出一种特别的气味，这些气味可能会蔓延到邻近地区。,"The administration warned of a new odor released after the fire was put out, saying it could spread to neighboring regions."
今年特纳奖入围作品将从明天起在马盖特展出，英国脱欧也将提上议事日程。,"This year's Turner Prize-shortlisted pieces will be on display in Margate from tomorrow, with Brexit on the agenda."
这位悲伤的父亲说道，他不知道谁会想要伤害他的儿子，也仍不知道他儿子被枪杀时车内还有谁。,"This grieving father said he has no idea who would want to hurt his son, and he said he still didn't know who was in the car with him when he was shot."
社会学家和研究这一群体的其他学者认为，“非自愿独身者”已逐渐成为激怒某些男性的流行语，这些男性因遭到女性的拒绝而愤怒，并倾向于产生暴力报复的想法。,"Over time, ""incel"" has become a buzzword for certain men infuriated at being rejected by women and prone to float ideas for violent payback, according to sociologists and others who study them."
伊朗总统哈桑·鲁哈尼星期五声称，美国提议取消对伊朗的所有制裁以换取谈判，此番言论导致石油价格下跌。唐纳德·特朗普总统和美国国务院后来否认了这些说法，导致油价从低点反弹。,"Oil slid after Iranian President Hassan Rouhani claimed Friday that the U.S. offered to remove all sanctions on Iran in exchange for negotiations. President Donald Trump and the State Department later denied those claims, causing oil to rebound from the lows."
但这更像是一场足球比赛，一方有 27 名球员排队防守，而对方球员则试图捡起球回家。,But this is more like a soccer match with 27 players on one side lining up to defend while the player in the opposite team tries to pick up the ball and go home.
“我坚信【特洛査尼】是欧盟委员会委员最合适的人选，”奥尔班说道。“非要说他有罪，那就是他帮助政府和我...保护匈牙利免受移民侵扰。”,"""I am convinced that [Trocsanyi] is the most suitable candidate for becoming member of the European Commission,"" Orban said. ""His sin was that he helped the government and me... to protect Hungary from migration."""
2016 年奥运冠军、铅球运动员瑞安·克劳斯表示，他每次都得把铅球加热到 38 摄氏度左右，以防在高温高湿环境下训练时铅球变得潮湿。,"Shot putter Ryan Crouser, the 2016 Olympic champion, said he has had to heat up his shots to around 38 degrees Celsius to prevent them from becoming wet during practices in the sizzling heat and high humidity."
世界各地的学校罢课走上街头要求采取气候行动,School strikers around the world march to demand action on climate
"在医疗保健行业，如果凯萨医疗机构的 4,500 名服务业员工国际联合会本地 49分会会员在 10 月现有合同到期之前没有达成协议（只是通过新的临时协议暂时避开），则会批准罢工（批准率为 98％）。在该行业的其他领域，代表阿斯托里亚医院 120 多名护士的俄勒冈护士协会在与医院管理部门的合同谈判中陷入僵局，这些护士的最后一份合同已在 5 月到期，时间非常紧迫。","In the healthcare sector, the 4,500 members of the Service Employees International Union Local 49 workers at Kaiser Permanente authorized a strike (with a 98 percent approval rate) if a deal isn't reached before their existing contract expires in October - which was only narrowly avoided with a new tentative agreement. Elsewhere in the industry, the Oregon Nurses Association, which represents more than 120 nurses at Astoria Hospital, has been deadlocked in contract negotiations with the hospital administration; their last contract expired in May, and the clock is ticking."
